Time,Var1
78.404초,-0.4317771
78.505초,-0.6739708
78.606초,-0.9122414
78.707초,-1.12834
78.808초,-1.289837
78.899초,-1.436129
79초,-1.537212
79.101초,-1.637367
79.202초,-1.73705
79.303초,-1.82185
79.404초,-1.91436
79.505초,-1.998544
79.606초,-2.077522
79.707초,-2.188444
79.798초,-2.257498
79.909초,-2.326789
80.01초,-2.374634
80.102초,-2.392017
80.202초,-2.353348
80.303초,-2.286331
80.404초,-2.211895
80.506초,-2.122095
80.607초,-2.014258
80.708초,-1.895968
80.809초,-1.775876
80.91초,-1.635279
81.001초,-1.50973
81.102초,-1.359445
81.203초,-1.18788
81.304초,-1.001357
81.405초,-0.8072358
81.506초,-0.6148291
81.607초,-0.4297427
81.708초,-0.2732558
81.809초,-0.1553112
81.9초,-0.04379663
82.001초,0.02958244
82.102초,0.124196
82.203초,0.2189532
82.304초,0.3006393
82.405초,0.3827928
82.506초,0.4505111
82.607초,0.5492033
82.708초,0.6195111
82.809초,0.6875067
82.9초,0.7546301
83.001초,0.8183205
83.102초,0.910985
83.203초,0.9656765
83.305초,1.062319
83.406초,1.118603
83.507초,1.187107
83.608초,1.259748
83.709초,1.336278
83.8초,1.37698
83.901초,1.406038
84.002초,1.400171
84.103초,1.41537
84.204초,1.417665
84.305초,1.378491
84.406초,1.377986
84.507초,1.396152
84.608초,1.406195
84.699초,1.434191
84.8초,1.477198
84.901초,1.528432
85.002초,1.567976
85.103초,1.587124
85.204초,1.562041
85.305초,1.537283
85.407초,1.49393
85.507초,1.406519
85.608초,1.294469
85.7초,1.192482
85.8초,1.109795
85.901초,1.013818
86.003초,0.9666713
86.103초,0.9217271
86.205초,0.8867675
86.306초,0.846494
86.407초,0.7897688
86.508초,0.7124707
86.599초,0.6692351
86.71초,0.5805187
86.801초,0.5654951
86.902초,0.5327205
87.003초,0.5235738
87.104초,0.5630996
87.205초,0.5603445
87.306초,0.5441379
87.407초,0.542945
87.498초,0.5100284
87.609초,0.4844347
87.71초,0.4391227
87.801초,0.4555254
87.902초,0.4249772
88.003초,0.4449077
88.104초,0.4530719
88.205초,0.440376
88.307초,0.4514968
88.407초,0.4582714
88.508초,0.4490827
88.61초,0.4235915
88.7초,0.3797483
88.802초,0.3216775
88.903초,0.2525794
89.004초,0.1762609
89.105초,0.09337695
89.206초,-0.04887189
89.307초,-0.2787192
89.408초,-0.5134168
89.509초,-0.7601744
89.6초,-0.9896095
89.701초,-1.165742
89.802초,-1.312436
89.903초,-1.398774
90.004초,-1.461432
90.105초,-1.523263
90.206초,-1.617149
90.307초,-1.703008
90.408초,-1.798107
90.509초,-1.828063
90.6초,-1.800308
90.701초,-1.749853
90.802초,-1.667788
90.903초,-1.565423
91.004초,-1.453655
91.106초,-1.367966
91.206초,-1.279402
91.307초,-1.189989
91.408초,-1.154041
91.499초,-1.157298
91.601초,-1.13864
