Time,Var1
50.105초,-0.130851328372955
50.11초,-0.137855991721153
50.115초,-0.132407754659653
50.12초,-0.135159820318222
50.125초,-0.130037367343903
50.13초,-0.134709686040878
50.135초,-0.134213626384735
50.14초,-0.137603282928467
50.145초,-0.130712196230888
50.15초,-0.13159205019474
50.156초,-0.136058360338211
50.161초,-0.134657189249992
50.166초,-0.130926087498665
50.171초,-0.131578743457794
50.176초,-0.134188324213028
50.181초,-0.13344407081604
50.186초,-0.134518563747406
50.191초,-0.135371953248978
50.196초,-0.141663819551468
50.201초,-0.128162428736687
50.206초,-0.13407938182354
50.211초,-0.159711718559265
50.216초,-0.012322386726737
50.221초,-0.236054793000221
50.226초,-0.0879134461283684
50.231초,-0.136541083455086
50.236초,-0.169715330004692
50.241초,-0.0851273462176323
50.246초,-0.141938000917435
50.252초,-0.284145891666412
50.257초,0.164578706026077
50.262초,-0.412743926048279
50.267초,0.115918181836605
50.272초,-0.27154216170311
50.277초,-0.105194561183453
50.282초,-0.0508069880306721
50.287초,-0.267221331596375
50.292초,-0.0419565737247467
50.297초,-0.228650450706482
50.302초,-0.0375306457281113
50.307초,-0.324766427278519
50.312초,0.100286215543747
50.317초,-0.355411887168884
50.322초,0.0126664200797677
50.327초,-0.219127982854843
50.332초,-0.0965704470872879
50.337초,-0.0649561285972595
50.342초,-0.195166304707527
50.348초,0.0424838475883007
50.353초,-0.17436757683754
50.358초,-0.130004286766052
50.363초,-0.0263495352119207
50.368초,-0.260784804821014
50.373초,0.0457537136971951
50.378초,-0.33251428604126
50.383초,-0.0342477299273014
50.388초,-0.24804425239563
50.393초,-0.179724216461182
50.398초,-0.179879739880562
50.403초,-0.214918553829193
50.408초,-0.103652946650982
50.413초,-0.100754074752331
50.418초,-0.11777550727129
50.423초,-0.0367753207683563
50.428초,-0.102220520377159
50.433초,-0.0357178412377834
50.438초,-0.0726062282919884
50.444초,-0.0981694757938385
50.449초,-0.126026272773743
50.454초,-0.178581163287163
50.459초,-0.175786763429642
50.464초,-0.193423599004745
50.469초,-0.152563214302063
50.474초,-0.242245256900787
50.479초,-0.183726295828819
50.484초,-0.213213846087456
50.489초,-0.132964447140694
50.494초,-0.0159144066274166
50.499초,-0.147643193602562
50.504초,-0.0403794050216675
50.509초,-0.160710155963898
50.514초,0.0805799141526222
50.519초,-0.252388030290604
50.524초,-0.130219638347626
50.529초,-0.0235467869788408
50.534초,-0.288653403520584
50.54초,-0.0391678139567375
50.545초,-0.13009375333786
50.55초,0.0739858597517014
50.555초,-0.324789971113205
50.56초,0.0367206148803234
50.565초,-0.302707403898239
50.57초,-0.220153123140335
50.575초,-0.236333191394806
50.58초,-0.210831955075264
50.585초,-0.115691758692265
50.59초,-0.114839538931847
50.595초,0.0274462047964334
50.6초,-0.0664742290973663
50.605초,-0.107590869069099
50.61초,-0.114720769226551
50.615초,-0.273442804813385
50.62초,-0.111973866820335
50.625초,-0.209660559892654
50.63초,-0.062697246670723
50.636초,-0.00516746286302805
50.641초,-0.0796392261981964
50.646초,0.0189952552318573
50.651초,-0.158783301711082
50.656초,-0.275392413139343
50.661초,-0.103410296142101
50.666초,-0.374450922012329
50.671초,-0.237637028098106
50.676초,-0.0325023867189884
50.681초,-0.0296144410967827
50.686초,-0.0753981247544289
50.691초,-0.151008903980255
50.696초,-0.0431130938231945
50.701초,-0.194238021969795
50.706초,-0.24941948056221
50.711초,-0.212982475757599
50.716초,-0.0732262954115868
50.721초,0.0328039638698101
50.726초,0.00975486170500517
50.732초,-0.091022364795208
50.737초,-0.0468217097222805
50.742초,-0.267310947179794
50.747초,-0.273876756429672
50.752초,-0.340908080339432
50.757초,-0.100091844797134
50.762초,-0.158679604530334
50.767초,0.113866962492466
50.772초,-0.154945388436317
50.777초,0.0520006529986858
50.782초,-0.289744555950165
50.787초,-0.195340171456337
50.792초,-0.381522715091705
50.797초,-0.0785033404827118
50.802초,-0.138786897063255
50.807초,0.116704218089581
50.812초,-0.104246072471142
50.817초,0.14115135371685
50.822초,-0.258138030767441
50.828초,-0.253080099821091
50.833초,-0.431370168924332
50.838초,-0.0463297478854656
50.843초,-0.196382850408554
50.848초,0.0772394239902496
50.853초,-0.0761401131749153
50.858초,0.106621704995632
50.863초,-0.154200032353401
50.868초,-0.359897315502167
50.873초,-0.404628604650497
50.878초,-0.201673954725266
50.883초,-0.0167791675776243
50.888초,-0.125916674733162
50.893초,0.107005976140499
50.898초,0.0794566348195076
50.903초,-0.0569714047014713
50.908초,-0.291290134191513
50.913초,-0.481736421585083
50.918초,-0.154266223311424
50.923초,-0.165860876441002
50.929초,-0.0103860655799508
50.934초,0.0883351936936378
50.939초,0.0901434868574142
50.944초,-0.0783144980669022
50.949초,-0.386316001415253
50.954초,-0.321270257234573
50.959초,-0.357482105493546
50.964초,-0.097648061811924
50.969초,-0.133254930377007
50.974초,0.185594663023949
50.979초,0.0921580791473389
50.984초,-0.0548780560493469
50.989초,-0.385665476322174
50.994초,-0.315597772598267
50.999초,-0.287085175514221
51.004초,-0.268127679824829
51.009초,0.118501879274845
51.014초,0.00290926150046289
51.019초,0.219885408878326
51.025초,-0.0997888743877411
51.03초,-0.346200585365295
51.035초,-0.393143713474274
51.04초,-0.271056830883026
51.045초,-0.203400030732155
51.05초,0.00158873433247209
51.055초,0.110634438693523
51.06초,0.103575818240643
51.065초,-0.110907658934593
51.07초,-0.234353646636009
51.075초,-0.481855601072311
51.08초,-0.29420530796051
51.085초,-0.0474023260176182
51.09초,-0.0945716202259064
51.095초,0.199208542704582
51.1초,-0.0349605977535248
51.105초,0.046020220965147
51.11초,-0.304614454507828
51.115초,-0.446783155202866
51.121초,-0.347596317529678
51.126초,-0.0840597003698349
51.131초,-0.0785493850708008
51.136초,0.152414917945862
51.141초,-0.0656704977154732
