Time,Var1
64.555초,-2.792602
64.611초,-2.787302
64.656초,-2.78304
64.707초,-2.77784
64.757초,-2.772486
64.808초,-2.766982
64.858초,-2.761956
64.904초,-2.757999
64.959초,-2.753887
65.005초,-2.751391
65.055초,-2.748496
65.106초,-2.745354
65.156초,-2.743068
65.207초,-2.740109
65.257초,-2.737323
65.308초,-2.733928
65.358초,-2.731416
65.404초,-2.729842
65.454초,-2.729373
65.51초,-2.729164
65.555초,-2.730582
65.606초,-2.732776
65.656초,-2.735932
65.707초,-2.740054
65.758초,-2.74434
65.803초,-2.748918
65.859초,-2.754297
65.909초,-2.760112
65.955초,-2.76507
66.01초,-2.771432
66.056초,-2.776512
66.106초,-2.782195
66.157초,-2.787241
66.207초,-2.79176
66.258초,-2.795247
66.303초,-2.798001
66.359초,-2.800631
66.409초,-2.802119
66.455초,-2.803338
66.505초,-2.805301
66.556초,-2.80585
66.606초,-2.807878
66.657초,-2.809159
66.707초,-2.809649
66.758초,-2.811168
66.808초,-2.812532
66.854초,-2.812428
66.909초,-2.812204
66.955초,-2.812036
67.005초,-2.811063
67.056초,-2.809485
67.106초,-2.807514
67.157초,-2.804685
67.208초,-2.801179
67.258초,-2.797718
67.309초,-2.79452
67.354초,-2.791821
67.41초,-2.788825
67.455초,-2.786801
67.506초,-2.785576
67.556초,-2.78439
67.607초,-2.783951
67.657초,-2.783718
67.708초,-2.784204
67.758초,-2.785203
67.809초,-2.78604
67.854초,-2.786943
67.905초,-2.787582
67.961초,-2.789042
68.006초,-2.790218
68.056초,-2.791892
68.107초,-2.792779
68.157초,-2.793026
68.208초,-2.793761
68.253초,-2.794227
68.309초,-2.794839
68.354초,-2.794897
68.405초,-2.795077
68.455초,-2.794785
68.506초,-2.793836
68.557초,-2.793046
68.607초,-2.792101
68.658초,-2.791139
68.708초,-2.790058
68.754초,-2.788834
68.809초,-2.787653
68.86초,-2.786488
68.905초,-2.785702
68.956초,-2.785255
69.006초,-2.785333
69.057초,-2.785391
69.107초,-2.785309
69.158초,-2.785509
69.208초,-2.78562
69.254초,-2.785642
69.304초,-2.786078
69.36초,-2.786706
69.405초,-2.787031
69.456초,-2.787277
69.506초,-2.78792
69.557초,-2.788354
69.607초,-2.787957
69.653초,-2.788391
69.708초,-2.789397
69.759초,-2.790676
69.804초,-2.791604
69.86초,-2.79221
69.905초,-2.792964
69.956초,-2.79408
70.007초,-2.794369
70.057초,-2.795056
70.108초,-2.79564
70.158초,-2.796068
70.209초,-2.796404
70.259초,-2.796254
70.305초,-2.796627
70.355초,-2.797462
70.406초,-2.798195
70.456초,-2.798634
70.507초,-2.798779
70.557초,-2.798978
70.608초,-2.798697
70.658초,-2.797833
70.704초,-2.796971
70.759초,-2.79585
70.805초,-2.794817
70.855초,-2.794401
70.906초,-2.793286
70.956초,-2.791543
71.007초,-2.790097
71.057초,-2.789592
71.108초,-2.788507
71.158초,-2.787842
71.204초,-2.787042
71.26초,-2.786123
71.305초,-2.785949
71.356초,-2.785379
71.406초,-2.785027
71.457초,-2.784868
71.507초,-2.784024
71.558초,-2.783786
71.608초,-2.784322
71.659초,-2.784825
71.704초,-2.785038
71.755초,-2.784875
71.805초,-2.784259
71.856초,-2.784587
71.906초,-2.784843
71.957초,-2.78524
72.007초,-2.786157
72.058초,-2.786672
72.103초,-2.786999
72.159초,-2.788079
72.204초,-2.78917
72.255초,-2.791048
72.31초,-2.792901
72.356초,-2.793991
72.406초,-2.79448
72.457초,-2.795938
72.507초,-2.79646
72.558초,-2.798188
72.603초,-2.798375
72.659초,-2.798452
72.71초,-2.797636
72.755초,-2.79748
72.806초,-2.797355
72.856초,-2.796474
72.907초,-2.795299
72.957초,-2.793352
