t,RollEst,PitchEst,YawEst
50.105초,-5.40115492052447e-05,0.000127914400407089,-2.67120260088409
50.11초,-0.000109632512989578,0.0002612263343567,-2.67120731656707
50.115초,-0.000164430041029801,0.000387884184575493,-2.67120920041987
50.12초,-0.000209017818773815,0.000515376218680475,-2.67121558536312
50.125초,-0.000256544039304475,0.000638884824781935,-2.67121757000144
50.13초,-0.000299652668429575,0.000762786318556946,-2.67122154370729
50.135초,-0.000344850536946973,0.000881111524163171,-2.67122535432111
50.14초,-0.000388308971390362,0.00100735715600642,-2.67122648447491
50.145초,-0.000432958912368647,0.00112525702846466,-2.67122847823248
50.15초,-0.000478147240675773,0.00124306606334152,-2.67123203785144
50.156초,-0.000523433124016678,0.00136147876431317,-2.67123343919046
50.161초,-0.000567882185814998,0.00147977614481758,-2.67123575833769
50.166초,-0.000615905790861833,0.00159555419148812,-2.67123985134223
50.171초,-0.000660489836140832,0.00170915843480158,-2.67124243045668
50.176초,-0.000708132169362441,0.00182220941243243,-2.67124453316699
50.181초,-0.000747813538438999,0.00193417413577866,-2.67124877302852
50.186초,-0.000779303811569705,0.00204542824336473,-2.67125036447387
50.191초,-0.000820398763618454,0.00215769194924419,-2.67125481170746
50.196초,-0.000866776934363761,0.00227538272896944,-2.67125639409575
50.201초,-0.000914805760935825,0.0023750897742855,-2.67125717846809
50.206초,-0.000954238466542681,0.00248222708661858,-2.67125678105076
50.211초,-0.00102895774940769,0.00261195987533509,-2.67125876676933
50.216초,-0.000881923699960871,0.00260758487733326,-2.6712714285963
50.221초,-0.00111158005703812,0.00280334762117009,-2.67130065238865
50.226초,-0.0010190981633949,0.00286723971724736,-2.67133142558886
50.231초,-0.00104900077810121,0.00297487862095676,-2.67135218680627
50.236초,-0.00120935191969277,0.00310446952233503,-2.67134465075576
50.241초,-0.0011214105441894,0.00316641103151329,-2.67130476520495
50.246초,-0.00131746593265014,0.00326599027527984,-2.67121721682003
50.252초,-0.00128777732530101,0.00351499460810281,-2.67107852186584
50.257초,-0.00140557844882834,0.00330999176009236,-2.67103244344981
50.262초,-0.00139893105007185,0.00368067152534304,-2.67104067519189
50.267초,-0.00128729610645333,0.0035196652209042,-2.67110961760253
50.272초,-0.00136416721854332,0.00375228721850891,-2.67123295237425
50.277초,-0.00137505903629838,0.00381708254562898,-2.67136842137309
50.282초,-0.00131830854290486,0.00382571311472781,-2.67149311872487
50.287초,-0.001482344459089,0.00405528388394705,-2.67157764757403
50.292초,-0.00148216502348967,0.00404575097480783,-2.67159426033622
50.297초,-0.00162564085606634,0.00422801420451955,-2.67155308250336
50.302초,-0.00164115950003867,0.00420949950321901,-2.67145497979725
50.307초,-0.00175789360618087,0.00449507053475915,-2.67133483779152
50.312초,-0.00174195064005198,0.00433564280959626,-2.67120251483759
50.317초,-0.00180922270381417,0.00465375628649102,-2.67110737061462
50.322초,-0.00187802291654784,0.00459263933690764,-2.67105565112654
50.327초,-0.00168646383030146,0.00479375338972628,-2.67106948212814
50.332초,-0.00176405864764129,0.00484810999814377,-2.6711442438378
50.337초,-0.00179558855724459,0.0048649025720659,-2.67125323164836
50.342초,-0.00157516022138486,0.00502322303210902,-2.67137388397232
50.348초,-0.0016787795021418,0.00491910868757316,-2.67149005101772
50.353초,-0.00184830133734119,0.00501417054994107,-2.67155164216308
50.358초,-0.00177485517205935,0.00508731214744892,-2.67156594367119
50.363초,-0.00211492070349047,0.00501939356818569,-2.67153362941692
50.368초,-0.00198904321093371,0.00522801672233598,-2.67145106807503
50.373초,-0.0021055724422475,0.00510931825620198,-2.67135520935384
50.378초,-0.00216471605805674,0.00538636749655151,-2.67126888526781
50.383초,-0.00222596559588007,0.0053496643822255,-2.67120464937619
50.388초,-0.00222416766070851,0.00555075473603491,-2.67118187357758
50.393초,-0.00216374974942533,0.00567725206626395,-2.6712062881469
50.398초,-0.00211103701853406,0.00581118587028503,-2.67126349973128
50.403초,-0.0020930612447663,0.00597745565425099,-2.67134449957337
50.408초,-0.00202323078314595,0.00604209498188628,-2.67141772220274
50.413초,-0.00201426033661616,0.00610253555236757,-2.67147278215747
50.418초,-0.00201975116673091,0.00617735366611423,-2.67148689814108
50.423초,-0.00203995686977508,0.0061638397885535,-2.67147304125117
50.428초,-0.00225103984151156,0.00618568980126787,-2.67142485017734
50.433초,-0.00232354662331712,0.00613549702872175,-2.67136634300328
50.438초,-0.00257616428261426,0.00610319856907779,-2.67131809572302
50.444초,-0.00261717848545655,0.00611162521109739,-2.67129540149807
50.449초,-0.00264255301289786,0.00615851173078643,-2.67130618693679
50.454초,-0.0025340205274867,0.00627028210874441,-2.67134822215997
50.459초,-0.00251135312391208,0.00637975429598549,-2.67140517047375
50.464초,-0.00236411096369814,0.00650794448439915,-2.67145761355018
50.469초,-0.00233241105172101,0.00658192802072805,-2.67149892543437
50.474초,-0.0023740349812129,0.00674164180895699,-2.67151017191306
50.479초,-0.00234501742442339,0.00686587724879086,-2.67148591679525
50.484초,-0.00225567097954602,0.00702725204186747,-2.67143494202117
50.489초,-0.00234052298509879,0.00711569487877319,-2.67137592129652
50.494초,-0.00242629296614039,0.0070732052235629,-2.67131841346389
50.499초,-0.00266749908292911,0.0071310393630959,-2.67130195335208
50.504초,-0.0028329750677023,0.007091986925011,-2.67131718822635
50.509초,-0.00289970168606693,0.00718559568077782,-2.67139350772826
50.514초,-0.00307239797862077,0.00702475772202902,-2.67146820252282
50.519초,-0.00286182436107789,0.00717779877227464,-2.6715415014868
50.524초,-0.00265445209372002,0.00728420492104628,-2.67159601433457
50.529초,-0.00278709078202045,0.00718712006063552,-2.67160648368859
50.534초,-0.00252034517859523,0.00742438837640237,-2.67153275875367
50.54초,-0.0023483761045288,0.00739007108248149,-2.67145241415451
50.545초,-0.00247609063915545,0.00744915706205591,-2.67135678696842
50.55초,-0.00243059108110932,0.00725342286799567,-2.67128755811013
50.555초,-0.0028206230339703,0.00749212523485697,-2.6712767045777
50.56초,-0.00281572303307764,0.00735640484482803,-2.67131256309043
50.565초,-0.00327641371591267,0.00756407216284283,-2.67140236274367
50.57초,-0.00298132146603869,0.00772023965761644,-2.6715219142855
50.575초,-0.00322700213321496,0.00785861108563339,-2.67163415117197
50.58초,-0.00317208540016222,0.00800167379702518,-2.67165891657273
50.585초,-0.00320539833974225,0.00804545737676276,-2.67162908273408
50.59초,-0.00289609196624974,0.00812136436414103,-2.67155667164911
50.595초,-0.00274633542651468,0.00805103996613819,-2.6714680214093
50.6초,-0.00266564024090368,0.00804002004718599,-2.67141619791158
50.605초,-0.00283408125343945,0.00807825685208586,-2.67136826635373
50.61초,-0.00296903349802606,0.00809349039702892,-2.67137850839072
50.615초,-0.00303738771342515,0.00827833335006928,-2.67141430419936
50.62초,-0.00306875209523407,0.00827080201065067,-2.67148656050729
50.625초,-0.00317205740852643,0.00837005914891067,-2.6715310537101
50.63초,-0.00339698955293583,0.00832323207013502,-2.67156211650327
50.636초,-0.00333102541315895,0.00822661266786352,-2.67155064034091
50.641초,-0.00333521622862729,0.00823178288666545,-2.6715532082359
50.646초,-0.00339911098982809,0.00813626588973034,-2.67154814337325
50.651초,-0.00326554220172454,0.00823049782776304,-2.67155592807285
50.656초,-0.00309355472670001,0.00845528996443795,-2.67156327525769
50.661초,-0.00288466626745635,0.00845360067665221,-2.67156766396204
50.666초,-0.0029703664798834,0.00872614612594473,-2.67155518754311
50.671초,-0.00309569769524157,0.00884367257435284,-2.67152015195157
50.676초,-0.00317262472723135,0.00875557333808843,-2.67146862198728
50.681초,-0.00334948722622153,0.00868523089501148,-2.6714264738384
50.686초,-0.00353506178937985,0.00868115948825839,-2.67142532095403
50.691초,-0.00354686361369533,0.00879415476773643,-2.67146665470726
50.696초,-0.00360583749179817,0.00877477633786211,-2.67154623153773
50.701초,-0.00351384954575959,0.00891917844058365,-2.67163815601601
50.706초,-0.00336213687144746,0.00903999235447133,-2.67169586603368
50.711초,-0.00335344228810564,0.00913840074702821,-2.67170945219079
50.716초,-0.00323673844448217,0.00910482207733453,-2.67166068254269
50.721초,-0.00330116545600568,0.00893396616555729,-2.67158848292581
50.726초,-0.00333392360503568,0.00883021186782845,-2.67150457307193
50.732초,-0.0034850186879283,0.00885153205638787,-2.67145890583419
