Time,Var1
50.105초,-9.84435939788818
50.11초,-9.843337059021
50.115초,-9.84334182739258
50.12초,-9.83970165252686
50.125초,-9.84597110748291
50.13초,-9.83962917327881
50.135초,-9.84480857849121
50.14초,-9.84393215179443
50.145초,-9.83489990234375
50.15초,-9.84349346160889
50.156초,-9.85192108154297
50.161초,-9.83924961090088
50.166초,-9.84217739105225
50.171초,-9.83198356628418
50.176초,-9.83712100982666
50.181초,-9.83369827270508
50.186초,-9.8415699005127
50.191초,-9.8411169052124
50.196초,-9.84098052978516
50.201초,-9.83290386199951
50.206초,-9.83953952789307
50.211초,-9.8461856842041
50.216초,-9.82564640045166
50.221초,-9.84266185760498
50.226초,-9.869065284729
50.231초,-9.81469631195068
50.236초,-9.85916709899902
50.241초,-9.85221385955811
50.246초,-9.79740905761719
50.252초,-9.91779899597168
50.257초,-9.784348487854
50.262초,-9.87339115142822
50.267초,-9.7337064743042
50.272초,-9.94738960266113
50.277초,-9.79465484619141
50.282초,-9.85835075378418
50.287초,-9.78357124328613
50.292초,-9.85344314575195
50.297초,-9.90193653106689
50.302초,-9.76541519165039
50.307초,-9.93990135192871
50.312초,-9.72911930084229
50.317초,-9.9052152633667
50.322초,-9.81416606903076
50.327초,-9.83049869537354
50.332초,-9.82737445831299
50.337초,-9.87932777404785
50.342초,-9.75183773040771
50.348초,-9.88759613037109
50.353초,-9.8214864730835
50.358초,-9.87761878967285
50.363초,-9.80220699310303
50.368초,-9.82683372497559
50.373초,-9.8733024597168
50.378초,-9.83172702789307
50.383초,-9.85430908203125
50.388초,-9.79793643951416
50.393초,-9.85203742980957
50.398초,-9.81580066680908
50.403초,-9.81781196594238
50.408초,-9.84680366516113
50.413초,-9.84146118164062
50.418초,-9.86574363708496
50.423초,-9.82422924041748
50.428초,-9.86043739318848
50.433초,-9.83593845367432
50.438초,-9.82947635650635
50.444초,-9.86041355133057
50.449초,-9.87785816192627
50.454초,-9.90635585784912
50.459초,-9.79836082458496
50.464초,-9.77306270599365
50.469초,-9.88203239440918
50.474초,-9.81094551086426
50.479초,-9.8644495010376
50.484초,-9.99098682403564
